Province;Departement;Commune
Estuaire;Libreville;Libreville Centre
Estuaire;Libreville;Owendo
Estuaire;Libreville;Akanda
Estuaire;Komo-Mondah;Ntoum
Estuaire;Komo;Kango
Estuaire;Komo-Oc‚an;Ndzomoe
Estuaire;Noya;Cocobeach
Haut-Ogoou‚;Franceville;Franceville
Haut-Ogoou‚;Lemboumbi-Leyou;Moanda
Haut-Ogoou‚;Mpassa;Franceville
Haut-Ogoou‚;Djouori-Agnili;Bongoville
Haut-Ogoou‚;Plateaux;L‚koni
Haut-Ogoou‚;L‚kabi-L‚wolo;Ngouoni
Haut-Ogoou‚;L‚koni-L‚kori;Aki‚ni
Haut-Ogoou‚;S‚b‚-Brikolo;Okondja
Haut-Ogoou‚;Djou‚;Onga
Haut-Ogoou‚;Bayi-Brikolo;Aboumi
Haut-Ogoou‚;Ogoou‚-L‚tili;Boumango
Haut-Ogoou‚;L‚koko;Bakoumba
Moyen-Ogoou‚;Ogoou‚ et des Lacs;Lambar‚n‚
Moyen-Ogoou‚;Abanga-Bign‚;Ndjol‚
Ngouni‚;Douya-Onoye;Mouila
Ngouni‚;Dola;Ndend‚
Ngouni‚;Tsamba-Magotsi;Fougamou
Ngouni‚;Louetsi-Bibaka;Malinga
Ngouni‚;Louetsi-Wano;L‚bamba
Ngouni‚;Mougalaba;Gui‚tsou
Ngouni‚;Boumi-Louetsi;Mbigou
Ngouni‚;Ogoulou;Mimongo
Ngouni‚;Ndolou;Mandji
Nyanga;Mougoutsi;Tchibanga
Nyanga;Douigny;Moabi
Nyanga;Basse-Banio;Mayumba
Nyanga;Haute-Banio;Ndindi
Nyanga;Doutsila;Mabanda
Nyanga;Mongo;Moulengui-Binza
Ogoou‚-Ivindo;Ivindo;Makokou
Ogoou‚-Ivindo;Lop‚;Boou‚
Ogoou‚-Ivindo;Mvoung;Ovan
Ogoou‚-Ivindo;Zadi‚;M‚kambo
Ogoou‚-Lolo;Lolo-Bouenguidi;Koulamoutou
Ogoou‚-Lolo;Lombo-Bouenguidi;Pana
Ogoou‚-Lolo;Mulundu;Lastoursville
Ogoou‚-Lolo;Offou‚-Onoye;Iboundji
Ogoou‚-Maritime;Bendj‚;Port-Gentil
Ogoou‚-Maritime;Ndougou;Gamba
Ogoou‚-Maritime;Etimbou‚;Ombou‚
Woleu-Ntem;Woleu;Oyem
Woleu-Ntem;Ntem;Bitam
Woleu-Ntem;Okano;Mitzic
Woleu-Ntem;Haut-Ntem;Minvoul
Woleu-Ntem;Haut-Komo;M‚douneu
